cenario;arquivo;linha;tempo_s;politica;tarefa;jobs;misses;miss_pct;exec_min_us;exec_avg_us;exec_max_us;resp_min_us;resp_avg_us;resp_max_us;lat_inicio_max_us;jitter_avg_us;jitter_max_us;cpu_pct;evento_us;inicio_us;fim_us
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;43;15.014;CUSTOM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;0;0;0
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;49;20.015;CUSTOM;FUS_IMU;4001;17;0.425;2021;2266.2;3070;1103;1385.3;7483;5135;935.8;5135;42.544;20059938;20059015;20061747
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;50;20.015;CUSTOM;CTRL_ATT;3980;1;0.025;1352;1355.6;3545;3406;3654.0;5973;3101;366.9;1014;27.774;20059015;20061777;20063145
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;51;20.015;CUSTOM;NAV_PLAN;9;4;44.444;8;19576.8;46663;38;21154.9;46686;3420;2078.0;3397;0.372;18725629;18727503;18727511
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;52;20.015;CUSTOM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;0;0;0
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;60;25.015;CUSTOM;FUS_IMU;5001;21;0.42;2021;2257.8;3070;1103;1378.4;7483;5159;936.5;5159;41.27;25059938;25059015;25061860
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;61;25.015;CUSTOM;CTRL_ATT;4973;3;0.06;1352;1357.8;10620;3405;3647.9;12677;3101;372.5;1014;27.727;25059015;25061895;25063261
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;62;25.015;CUSTOM;NAV_PLAN;11;5;45.455;8;19836.5;46663;38;21230.9;46686;3420;1829.0;3397;0.372;21297069;21297526;21297534
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;63;25.015;CUSTOM;FAIL_SAFE;1;0;0.0;4778;4778.0;4778;4799;4799.0;4799;21;0.0;0;0.088;24597092;24597113;24601891
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;67;30.014;CUSTOM;FUS_IMU;6001;24;0.4;2021;2252.8;3070;1103;1370.2;7483;5159;935.9;5159;41.255;30059938;30059015;30061224
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;68;30.014;CUSTOM;CTRL_ATT;5969;3;0.05;1352;1357.2;10620;3404;3642.2;12677;3101;377.8;1014;27.796;30059015;30061259;30062612
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;69;30.014;CUSTOM;NAV_PLAN;12;5;41.667;8;18184.2;46663;38;19746.9;46686;3420;1923.1;3397;0.096;25909849;25913264;25913272
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;70;30.014;CUSTOM;FAIL_SAFE;1;0;0.0;4778;4778.0;4778;4799;4799.0;4799;21;0.0;0;0.0;24597092;24597113;24601891
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;72;35.015;CUSTOM;FUS_IMU;7001;26;0.371;2021;2248.5;3070;1103;1362.7;7483;5159;934.8;5159;41.233;35059938;35059015;35061853
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;73;35.015;CUSTOM;CTRL_ATT;6967;3;0.043;1352;1356.7;10620;3404;3637.4;12677;3101;380.2;1014;27.837;35059015;35061888;35063254
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;74;35.015;CUSTOM;NAV_PLAN;12;5;41.667;8;18184.2;46663;38;19746.9;46686;3420;1923.1;3397;0.0;25909849;25913264;25913272
03;03_CUSTOM_COOPERATIVO_80MHz_UNICORE.txt;75;35.015;CUSTOM;FAIL_SAFE;1;0;0.0;4778;4778.0;4778;4799;4799.0;4799;21;0.0;0;0.0;24597092;24597113;24601891
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;18;5.012;CUSTOM;FUS_IMU;1001;2;0.2;666;669.2;995;181;295.2;5649;4976;431.2;4976;13.558;5056043;5055556;5056224
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;19;5.012;CUSTOM;CTRL_ATT;997;0;0.0;447;450.7;514;1127;1130.2;1430;916;2.7;235;9.239;5055556;5056234;5056686
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;20;5.012;CUSTOM;NAV_PLAN;2;0;0.0;21;2681.5;5342;86;2718.5;5351;65;28.0;56;0.214;4126709;4126718;4132060
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;21;5.012;CUSTOM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.002;0;0;0
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;29;10.012;CUSTOM;FUS_IMU;2001;4;0.2;666;678.7;995;180;307.0;5649;4976;430.6;4976;13.964;10056043;10056082;10056755
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;30;10.012;CUSTOM;CTRL_ATT;1994;0;0.0;447;450.7;514;1127;1139.9;1430;916;21.3;235;9.257;10056082;10056769;10057216
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;31;10.012;CUSTOM;NAV_PLAN;4;0;0.0;6;3195.8;7414;27;3222.0;7424;65;19.8;56;0.207;8993479;8993489;9000903
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;32;10.012;CUSTOM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;0;0;0
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;40;15.012;CUSTOM;FUS_IMU;3001;9;0.3;666;684.7;995;180;316.6;5774;5102;432.9;5102;14.133;15056043;15056106;15056779
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;41;15.012;CUSTOM;CTRL_ATT;2988;0;0.0;447;450.7;514;1127;1145.8;1430;916;32.9;235;9.228;15056106;15056789;15057236
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;42;15.012;CUSTOM;NAV_PLAN;7;0;0.0;5;2792.3;7414;15;2813.7;7424;65;16.0;56;0.486;13960253;13960262;13960268
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;43;15.012;CUSTOM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;0;0;0
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;49;20.012;CUSTOM;FUS_IMU;4001;13;0.325;666;682.8;995;179;314.8;5790;5118;432.9;5118;13.744;20056043;20055910;20056583
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;50;20.012;CUSTOM;CTRL_ATT;3984;0;0.0;447;450.7;514;1127;1144.0;1430;916;29.3;235;9.251;20055910;20056594;20057041
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;51;20.012;CUSTOM;NAV_PLAN;9;0;0.0;5;2766.6;7414;15;2786.8;7424;65;15.2;56;0.207;17029265;17029275;17029280
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;52;20.012;CUSTOM;FAIL_SAFE;0;0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;0;0;0
04;04_CUSTOM_COOPERATIVO_240MHz_UNICORE.txt;62;25.012;CUSTOM;FUS_IMU;5001;15;0.3;666;680.1;995;179;313.1;5790;5118;433.1;5118;13.576;25056043;25055556;25056224
